Categoría: Todas las categorías

Día,Kamala Harris: (Estados Unidos),Joe Biden: (Estados Unidos),Donald Trump: (Estados Unidos)
2024-06-01,<1,1,6
2024-06-02,<1,1,5
2024-06-03,<1,1,3
2024-06-04,<1,1,3
2024-06-05,<1,1,2
2024-06-06,<1,2,3
2024-06-07,<1,2,3
2024-06-08,<1,1,3
2024-06-09,<1,1,2
2024-06-10,<1,1,2
2024-06-11,<1,2,2
2024-06-12,<1,1,2
2024-06-13,<1,1,2
2024-06-14,<1,1,2
2024-06-15,<1,1,2
2024-06-16,<1,1,2
2024-06-17,<1,1,2
2024-06-18,<1,2,2
2024-06-19,<1,1,2
2024-06-20,<1,1,2
2024-06-21,<1,1,2
2024-06-22,<1,1,2
2024-06-23,<1,1,2
2024-06-24,<1,1,2
2024-06-25,<1,1,2
2024-06-26,<1,1,2
2024-06-27,<1,2,4
2024-06-28,1,16,14
2024-06-29,<1,5,4
2024-06-30,<1,4,3
2024-07-01,<1,4,4
2024-07-02,<1,3,3
2024-07-03,1,4,3
2024-07-04,1,4,3
2024-07-05,1,5,3
2024-07-06,<1,6,3
2024-07-07,<1,3,2
2024-07-08,<1,3,2
2024-07-09,<1,3,3
2024-07-10,<1,3,3
2024-07-11,<1,7,3
2024-07-12,1,7,3
2024-07-13,<1,3,64
2024-07-14,<1,6,100
2024-07-15,<1,3,29
2024-07-16,<1,3,17
2024-07-17,<1,4,11
2024-07-18,1,8,13
2024-07-19,1,11,16
2024-07-20,1,5,8
2024-07-21,12,35,10
2024-07-22,17,11,9
2024-07-23,14,9,8
2024-07-24,11,4,7
2024-07-25,12,5,6
2024-07-26,9,2,6
2024-07-27,6,1,7
2024-07-28,5,1,7
2024-07-29,5,1,9
2024-07-30,5,1,7
2024-07-31,6,1,7
2024-08-01,6,1,7
2024-08-02,5,1,5
2024-08-03,4,1,5
2024-08-04,4,1,4
2024-08-05,4,1,4
2024-08-06,9,1,4
2024-08-07,5,1,4
2024-08-08,4,1,5
2024-08-09,4,1,5
2024-08-10,4,1,5
2024-08-11,4,1,4
2024-08-12,3,1,5
2024-08-13,3,1,7
2024-08-14,3,1,4
2024-08-15,2,1,4
2024-08-16,3,1,4
2024-08-17,3,1,4
2024-08-18,3,<1,4
2024-08-19,2,1,4
2024-08-20,4,3,5
2024-08-21,5,1,5
2024-08-22,4,1,5
2024-08-23,9,1,6
2024-08-24,4,1,5
2024-08-25,3,<1,4
2024-08-26,3,<1,4
2024-08-27,3,1,4
2024-08-28,3,1,4
2024-08-29,4,<1,5
2024-08-30,5,<1,4
2024-08-31,2,<1,4
2024-09-01,2,<1,3
2024-09-02,2,<1,3
2024-09-03,2,<1,3
2024-09-04,2,<1,4
2024-09-05,2,<1,4
2024-09-06,2,<1,4
2024-09-07,2,<1,3
2024-09-08,2,<1,3
2024-09-09,2,<1,3
2024-09-10,4,<1,5
2024-09-11,15,2,17
2024-09-12,5,1,7
2024-09-13,4,1,6
2024-09-14,3,1,5
2024-09-15,3,<1,16
2024-09-16,2,<1,13
2024-09-17,2,<1,6
2024-09-18,2,<1,5
2024-09-19,2,<1,5
2024-09-20,3,<1,4
2024-09-21,2,<1,4
2024-09-22,2,<1,3
2024-09-23,2,<1,3
2024-09-24,2,<1,4
2024-09-25,2,<1,3
2024-09-26,2,<1,3
2024-09-27,2,<1,4
